rank	Youtuber	Channel_contents	Primary_Language	subscribers	video views	category	Title	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	video_views_for_the_last_30_days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers_for_last_30_days	created_year	created_month	created_date	Gross tertiary education enrollment (%)	Population	Unemployment rate	Urban_population	Latitude	Longitude
204	Alan Chikin Chow	Comedy sketches and characters with a quirky twist, often involving hilarious social scenarios and relatable content.	English	26400000	27006526665	Comedy	Alan Chikin Chow	865	United States	US	Comedy	61	63	12	1046000000	261500	4200000	3100000	50200000	0	2020	Feb	3	882	328239523	147	270663028	3709024	-95712891
205	PANDA BOI	Features comedic skits and memes that resonate with a younger demographic, all delivered by a charismatic host.	English	26400000	17211600007	Entertainment	PANDA BOI	967	Italy	IT	Entertainment	158	1	55	1225000000	306400	4900000	3700000	58800000	0	2020	Dec	5	619	60297396	989	42651966	4187194	1256738
206	BB Ki Vines	Bhuvan Bam entertains with his unique brand of comedy that captures the life and stories of urban India.	Hindi	26300000	4749833967	Entertainment	BB Ki Vines	190	India	IN	Entertainment	1462	51	57	17264000	4300	69100	51800	828600	0	2015	Jun	20	281	1366417754	536	471031528	20593684	7896288
207	D Billions	Engages toddlers and young children with vibrant, educational songs and playful learning videos.	NA	26200000	31977463002	Entertainment	D Billions	775	United States	US	Entertainment	33	64	58	487076000	121800	1900000	1500000	23400000	0	2019	Jul	27	882	328239523	147	270663028	3709024	-95712891
208	Junya	Best known for his hilarious and sometimes absurd comedic shorts that have gained a significant following.	Japanese	26200000	16097531087	Entertainment	Junya	5985	Japan	JP	Entertainment	184	2	56	721848000	180500	2900000	2200000	34600000	0	2020	Sep	14	632	126226568	229	115782416	36204824	138252924
209	Smosh	A legendary comedy brand known for their sketches, parodies, and humor on relatable life situations.	English	26100000	10435474336	Comedy	Smosh	1619	United States	US	Comedy	410	65	13	68156000	17000	272600	204500	3300000	0	2005	Nov	19	882	328239523	147	270663028	3709024	-95712891
210	1MILLION Dance Studio	World-famous dance studio's channel featuring choreographies, dance videos, and classes from top-notch instructors.	Korean	26100000	7886440199	Entertainment	1MILLION Dance Studio	0	Saudi Arabia	SA	Music	4057944	3695	5641		0	0	0	0	0	2019	Jul	13	680	34268528	593	28807838	23885942	45079162
211	NichLmao	A channel that delivers humor through short-form content, memes, and trendy internet culture references.	English	26000000	14101010609	People & Blogs	NichLmao	868	Singapore	SG	People	249		6	606362000	151600	2400000	1800000	29100000	0	2018	Sep	25	848	5703569	411	5703569	1352083	103819836
212	Beyonc	The official channel for the global music icon Beyonc, featuring her music videos, live performances, and documentary snippets.	English	26000000	17308961985	Music	Beyonc?	240	United States	US	Music	163	66	66	55454000	13900	221800	166400	2700000	0	2005	Nov	7	882	328239523	147	270663028	3709024	-95712891
213	Mar	A unique mix of vlogs, challenges, and lifestyle content, all presented with a personal and engaging touch.	NA	26000000	18597534412	Music	mariliamendonca	1	Brazil	BR	Music	4057142		4914	3	0	1	1	14	0	2008	Jun	14	513	212559417	1208	183241641	-14235004	-5192528
214	Indosiar	A leading Indonesian TV channel that shares a variety of shows, from dramas to singing competitions and cultural content.	Indonesian	25900000	11372071889	Music	Indosiar	65286	Indonesia	ID	Entertainment	358	5	60	230183000	57500	920700	690500	11000000	0	2013	Sep	23	363	270203917	469	151509724	-789275	113921327
215	VanossGaming	Focused on video games, comedic commentary, and animated parodies for an audience that loves gaming culture.	English	25800000	15541421838	Gaming	VanossGaming	1762	Canada	CA	Games	206	5	17	54947000	13700	219800	164800	2600000	0	2011	Sep	15	689	36991981	556	30628482	56130366	-106346771
216	David Guetta	The world-renowned DJ and producer's channel showcasing his music videos, live DJ sets, and behind-the-scenes footage.	English	25700000	17793809548	Music	David Guetta	749	United States	US	Music	153	67	67	164215000	41100	656900	492600	7900000	0	2009	Dec	11	882	328239523	147	270663028	3709024	-95712891
217	LosPolinesios	Three siblings from Latin America share their life's adventures, challenges, and travel stories.	Spanish	25700000	7466926260	People & Blogs	LosPolinesios	982	Mexico	MX	People	746	8	7	30501000	7600	122000	91500	1500000	0	2012	Dec	16	402	126014024	342	102626859	23634501	-102552784
218	Nicki Minaj	The hip hop queen's official channel, full of her bold music videos, collaborations, and unique style.	English	25700000	10242981063	Music	Nicki Minaj	42	United States	US	Music	425	67	67	103631000	25900	414500	310900	5000000	0	2013	Aug	28	882	328239523	147	270663028	3709024	-95712891
219	Fede Vigevani	High-energy vlogs, pranks, and lifestyle content from a charismatic and engaging content creator.	Spanish	25600000	7962725960	Howto & Style	Fede Vigevani	0	Argentina	AR	Howto	4057944				0	0	0	0	0	2019	Aug	1	900	44938712	979	41339571	-38416097	-63616672
220	TaylorSwiftVEVO	Taylor Swift's VEVO channel, home to her music videos, exclusive clips, and glimpses into her artistic world.	English	25600000	25592378292	Music	TaylorSwiftVEVO	287	United States	US	Music	67	68	68	318593000	79600	1300000	955800	15300000	0	2009	May	12	882	328239523	147	270663028	3709024	-95712891
221	ZHC	An artist who combines creativity with philanthropy, showcasing art challenges, large-scale drawings, and giveaways.	English	25500000	2726917087	Film & Animation	zhc	5	United States	US	Entertainment	4042995		6739	20	1	8	6	96	0	2006	Jan	24	882	328239523	147	270663028	3709024	-95712891
222	Post Malone	Official content from Post Malone, including music videos, performances, and personal snippets from the artist himself.	English	25500000	14401218086	Music	Post Malone	78	United States	US	Music	243	69	69	195499000	48900	782000	586500	9400000	0	2011	Dec	15	882	328239523	147	270663028	3709024	-95712891
223	Rans Entertainment	Indonesian entertainment channel featuring the family life of Raffi Ahmad and Nagita Slavina, along with lifestyle content.	Indonesian	25400000	6430853035	People & Blogs	Rans Entertainment	3716	Indonesia	ID	Entertainment	942	6	62	58487000	14600	233900	175500	2800000	0	2015	Dec	27	363	270203917	469	151509724	-789275	113921327
224	LankyBox	Known for their gaming videos, comedic value, and 'Zero Budget' film parodies, all packed with fun and laughter.	English	25400000	34300482066	Comedy	LankyBox	8775	United States	US	Games	29	69	18	815341000	203800	3300000	2400000	39100000	0	2016	Jul	30	882	328239523	147	270663028	3709024	-95712891
225	Coldplay	Official channel for the band Coldplay, where fans can watch music videos, live performances, and special features.	English	25300000	17331663193	Music	Coldplay	398	United Kingdom	GB	Music	160	8	70	198875000	49700	795500	596600	9500000	0	2010	Jan	3	600	66834405	385	55908316	55378051	-3435973
226	Las Ratitas	Two sisters sharing family-friendly content, playtime videos, and a look into their daily fun activities.	Spanish	25200000	9602246828	People & Blogs	LAS RATITAS	4	Spain	ES	People	4051936		7690	11	0	4	3	53	0	2019	May	31	889	47076781	1396	37927409	40463667	-374922
227	WB Kids	Warner Bros' hub for all animated series and movies, a paradise for young viewers and fans of classic cartoons.	English	25200000	11081602368	People & Blogs	WB Kids	2025	United States	US	Film	375	70	16	140319000	35100	561300	421000	6700000	0	2015	Mar	31	882	328239523	147	270663028	3709024	-95712891
228	ABPLIVE	News channel delivering live updates, breaking stories, and comprehensive coverage from India.	Hindi	25200000	7968363381	People & Blogs	ABPLIVE	12	India	IN	People	4026389		7421	2	0	1	1	1	0	2014	Jul	26	281	1366417754	536	471031528	20593684	7896288
229	Chris Brown	Official channel of the R&B artist Chris Brown, showcasing his music videos, dance moves, and artistic visuals.	English	25200000	15520569496	Music	ChrisBrown	0	United States	US		3612215				0	0	0	0	0				882	328239523	147	270663028	3709024	-95712891
230	The Lallantop	Offers a fresh take on news, current affairs, and complex issues in India with an analytical perspective.	Hindi	25200000	10409352249	News & Politics	The Lallantop	51129	India	IN	News	408	52	6	273920000	68500	1100000	821800	13100000	0	2015	Mar	23	281	1366417754	536	471031528	20593684	7896288
231	RihannaVEVO	Rihanna's VEVO channel, featuring her hit music videos, exclusive performances, and style-defining content.	English	25100000	19458807708	Music	RihannaVEVO	118	United States	US	Music	130	71	72	94246000	23600	377000	282700	4500000	0	2009	May	12	882	328239523	147	270663028	3709024	-95712891
232	WatchMojo.com	Well-known for top 10 lists and countdowns across pop culture, entertainment, music, and history.	English	25100000	16357064198	Music	WatchMojo.com	24837	Canada	CA	Entertainment	180	6	64	49009000	12300	196000	147000	2400000	0	2007	Jan	25	689	36991981	556	30628482	56130366	-106346771
233	TRANS7 OFFICIAL	Indonesian TV channel providing an array of programs from news and documentaries to entertainment and lifestyle.	Indonesian	25000000	14169516119	Entertainment	TRANS7 OFFICIAL	89179	Indonesia	ID	Entertainment	251	7	64	123189000	30800	492800	369600	5900000	0	2014	Sep	4	363	270203917	469	151509724	-789275	113921327
234	Anuel AA	The Puerto Rican rapper and singer's channel is full of his reggaeton and Latin trap hits.	Spanish	25000000	14827085149	Music	Anuel AA	147	Colombia	CO	Music	225	6	73	284144000	71000	1100000	852400	13600000	0	2016	Sep	8	553	50339443	971	40827302	4570868	-74297333
235	Dan Rhodes	Magic and illusions are brought to the screen with a modern twist, engaging audiences in the art of the impossible.	English	24800000	17387583720	Entertainment	Dan Rhodes	1644	United Kingdom	GB	Entertainment	157	9	66	331889000	83000	1300000	995700	15900000	0	2015	Oct	30	600	66834405	385	55908316	55378051	-3435973
236	Yuya	A beloved beauty and lifestyle influencer sharing makeup tutorials, fashion tips, and personal vlogs.	Spanish	24800000	2588501115	Howto & Style	Yuya	672	Mexico	MX	Howto	3505	9	6	336291	84	1300	1000	16100	0	2009	Sep	20	402	126014024	342	102626859	23634501	-102552784
237	America's Got Talent	Official channel for the talent show, featuring memorable auditions, jaw-dropping performances, and inspiring stories.	English	24800000	3699352704	Entertainment	America's Got Talent	1894	United States	US	Entertainment	2122	72	65	134412000	33600	537600	403200	6500000	0	2006	Jun	29	882	328239523	147	270663028	3709024	-95712891
238	mujjuu___14	NA	NA	24800000	14655527943	People & Blogs	mujjuu___14	872	India	IN	People	234		8	400222000	100100	1600000	1200000	19200000	0	2020	May	18	281	1366417754	536	471031528	20593684	7896288
239	EminemVEVO	Official VEVO for Eminem, the rap god, featuring intense music videos and groundbreaking rap tracks.	English	24700000	20531704527	Music	EminemVEVO	104	United States	US	Music	115	73	74	139443000	34900	557800	418300	6700000	0	2009	May	12	882	328239523	147	270663028	3709024	-95712891
240	Chloe Ting	Fitness influencer known for her workout challenges, health tips, and encouraging a balanced lifestyle.	English	24700000	2994726412	Howto & Style	Chloe Ting	412	Australia	AU	Howto	2897	2	7	23263000	5800	93100	69800	1100000	0	2011	Aug	17	1131	25766605	527	21844756	-25274398	133775136
241	KatyPerryVEVO	Katy Perry's official VEVO channel, where fans can find her colorful and theatrical music videos.	English	24600000	23755792542	Music	KatyPerryVEVO	175	United States	US	Music	82	74	75	88940000	22200	355800	266800	4300000	0	2009	Dec	13	882	328239523	147	270663028	3709024	-95712891
242	Mark Rober	Former NASA engineer turned YouTuber sharing creative science experiments, gadgets, and technology exploration.	English	24600000	3647987299	Science & Technology	Mark Rober	120	United States	US	Tech	2178	74	3	88625000	22200	354500	265900	4300000	0	2011	Oct	20	882	328239523	147	270663028	3709024	-95712891
243	1theK	A premier K-pop channel offering the latest music videos, performances, and exclusive content from Korean artists.	Korean	24500000	23962070944	Music	1theK	18950	South Korea	KR	Entertainment	79	6	67	105567000	26400	422300	316700	5100000	0	2011	Jan	31	943	51709098	415	42106719	35907757	127766922
244	Like Nastya AE	An extension of the Like Nastya universe, catering to an Arabic-speaking audience with dubbed content.	Arabic	24400000	12385924995	Entertainment	Like Nastya AE	658	United States	US	Entertainment	312	75	68	169865000	42500	679500	509600	8200000	0	2018	Dec	19	882	328239523	147	270663028	3709024	-95712891
245	Amit Bhadana	Delivers comedy sketches that highlight everyday situations with a humorous twist and relatable characters.	Hindi	24300000	2380248899	Entertainment	Amit Bhadana	17	India	IN	People	4054185		7710	5	0	2	2	24	0	2009	Dec	31	281	1366417754	536	471031528	20593684	7896288
246	Pen Movies	Channel featuring a variety of movies and series, catering to fans of diverse genres and languages.	NA	24300000	6608773195	Film & Animation	Pen Movies	1667	India	IN	Film	903	53	17	94853000	23700	379400	284600	4600000	0	2014	Mar	25	281	1366417754	536	471031528	20593684	7896288
247	MrBeast en Espana	The Spanish version of MrBeast's channel, offering translated content from his original channel.	Spanish	24200000	2700914170	Entertainment	MrBeast en Espagna	67	Mexico	MX	Entertainment	3309	10	70	33590000	8400	134400	100800	1600000	0	2021	Jul	9	402	126014024	342	102626859	23634501	-102552784
248	shfa show India	NA	NA	24200000	15724160183	People	shfa show India	469	United Arab Emirates	AE	People	203	3	9	151208000	37800	604800	453600	7300000	0	2019	Apr	1	368	9770529	235	8479744	23424076	53847818
249	Super JoJo - Nursery Rhymes & Kids Songs	Engaging children's content with catchy tunes, colorful animations, and educational themes.	English	24100000	329774870	Education	Super JoJo - Nursery Rhymes & Kids Songs	36	United States	US	Education	40117	77	15	328503000	82100	1300000	985500	15800000	0	2019	May	31	882	328239523	147	270663028	3709024	-95712891
250	Alejo Igoa	Delivers a mix of lifestyle, humor, and personal vlogs, creating a close bond with his audience.	Spanish	24100000	10999000479	Comedy	Alejo Igoa	802	Argentina	AR	Entertainment	376	4	71	401512000	100400	1600000	1200000	19300000	0	2014	Jan	17	900	44938712	979	41339571	-38416097	-63616672
251	Daniel LaBelle	A content creator known for his comedic and exaggerated silent skits about everyday situations.	English	24100000	12916159065	Comedy	Daniel LaBelle	287	United States	US	Comedy	290		14	398765000	99700	1600000	1200000	19100000	0	2009	Mar	11	882	328239523	147	270663028	3709024	-95712891
252	netd m	Turkish music platform providing a wide range of music videos and entertainment content.	Turkish	24100000	56106087508	Music	netd m?	23491	Turkey	TR	Music	14	2	76	424815000	106200	1700000	1300000	20400000	0	2014	Jan	23	239	83429615	1349	63097818	38963745	35243322
253	DJ Snake	The official channel of the French DJ and record producer featuring music videos and live sets.	English	24100000	8425505919	Music	DJ Snake	252	United States	US	Music	602	77	76	63293000	15800	253200	189900	3000000	0	2008	Sep	24	882	328239523	147	270663028	3709024	-95712891
254	Diana and Roma ARA	Arabic channel of the popular kid vloggers Diana and Roma featuring playful content and family adventures.	Arabic	24100000	11041261296	Entertainment	Diana and Roma ARA	590	United States	US	Entertainment	379	76	70	66884000	16700	267500	200700	3200000	0	2019	Feb	1	882	328239523	147	270663028	3709024	-95712891
255	KSI	British YouTuber turned boxer and musician known for his entertainment videos, music, and boxing matches.	English	24100000	6002166932	Entertainment	KSI	1252	United Kingdom	GB	Music	1053	10	76	5439000	1400	21800	16300	261100	0	2009	Jul	25	600	66834405	385	55908316	55378051	-3435973
256	Spider Slack	NA	NA	24000000	13943030228	Comedy	Spider Slack	901	Brazil	BR	Comedy	252	13	14	761451000	190400	3000000	2300000	36500000	0	2020	May	18	513	212559417	1208	183241641	-14235004	-5192528
257	Goldmines Movies	A hub for Bollywood movies offering a collection of classic and contemporary Indian films.	Hindi	24000000	5652938599	Film & Animation	Ti Ti	3	India	IN	People	4057888		7725	3	0	1	1	14	0	2018	Apr	30	281	1366417754	536	471031528	20593684	7896288
258	Preston	Gamer known for Minecraft content, pranks, and challenges, also involved in multiple YouTube channels.	English	24000000	8279004442	Gaming	Preston	4009	United States	US	Entertainment	621	78	72	151697000	37900	606800	455100	7300000	0	2012	Jul	4	882	328239523	147	270663028	3709024	-95712891
259	James Charles	Beauty guru and makeup artist known for his makeup tutorials, challenges, and lifestyle vlogs.	English	23900000	4067878931	Entertainment	James Charles	505	United States	US	Entertainment	1860	79	73	58126000	14500	232500	174400	2800000	0	2015	Dec	1	882	328239523	147	270663028	3709024	-95712891
260	Collins Key	Entertainer and magician who brings magic, comedy, and family-friendly fun to his audience.	English	23900000	6582932625	Entertainment	Collins Key	257	United States	US	Entertainment	911	79	73	10853000	2700	43400	32600	520900	0	2011	Aug	9	882	328239523	147	270663028	3709024	-95712891
261	Diana and Roma EN	The English channel for kid vloggers Diana and Roma showcasing their playful activities and stories.	English	23900000	7213499085	People & Blogs	Diana and Roma EN	511	United States	US	Entertainment	787	79	73	177769000	44400	711100	533300	8500000	0	2011	Dec	22	882	328239523	147	270663028	3709024	-95712891
262	Venus Entertainment	A leading entertainment channel in India, showcasing music videos, movies, and more.	Hindi	23800000	5663125358	Entertainment	Venus Entertainment	70	India	IN	Entertainment	367929		2500	31633	8	127	95	1500	0	2016	May	17	281	1366417754	536	471031528	20593684	7896288
263	Troom Troom	A DIY tutorial channel that shares easy craft tips, life hacks, and pranks.	English	23800000	10414479943	Howto & Style	Troom Troom	2425	United States	US	Howto	412	80	8	98052000	24500	392200	294200	4700000	0	2015	Sep	12	882	328239523	147	270663028	3709024	-95712891
264	Enrique Iglesias	The official channel of the Spanish singer offering music videos, behind-the-scenes, and live performances.	Spanish	23800000	17688774915	Music	Enrique Iglesias	443	United States	US	Music	154	80	77	122914000	30700	491700	368700	5900000	0	2007	Apr	12	882	328239523	147	270663028	3709024	-95712891
265	Ninja	Professional gamer and streamer best known for playing Fortnite and streaming on various platforms.	English	23700000	2543809954	Gaming	Ninja	1732	United States	US	Games	3590	81	19	8368000	2100	33500	25100	401700	0	2011	Nov	11	882	328239523	147	270663028	3709024	-95712891
266	FaZe Rug	Part of the FaZe Clan, this YouTuber provides gaming content, pranks, and lifestyle vlogs.	English	23700000	7451792132	Gaming	FaZeRug	0	Canada	CA	Games	4057944	3885	7268		0	0	0	0	0	2012	Nov	30	689	36991981	556	30628482	56130366	-106346771
267	Mister Max	NA	NA	23700000	15510153803	People & Blogs	Mister Max	1099	United Kingdom	GB	Entertainment	208	11	74	32817000	8200	131300	98400	1600000	0	2014	Sep	22	600	66834405	385	55908316	55378051	-3435973
268	That Little Puff	NA	NA	23700000	20289689389	Pets & Animals	That Little Puff	769	United States	US	Animals	118	81	1	755054000	188800	3000000	2300000	36200000	0	2020	Aug	29	882	328239523	147	270663028	3709024	-95712891
269	NickyJamTV	The official channel of the reggaeton artist, featuring his music videos and documentaries.	Spanish	23600000	15901824841	Music	NickyJamTV	392	United States	US	Music	193	3	78	77927000	19500	311700	233800	3700000	0	2012	Jan	10	882	328239523	147	270663028	3709024	-95712891
270	Juan De Dios Pantoja	Mexican YouTuber who shares music, lifestyle content, and vlogs with his family.	Spanish	23600000	2135644776	Entertainment	Juan De Dios Pantoja	226	Mexico	MX	People	4529	11	10	46862000	11700	187400	140600	2200000	0	2014	Jun	9	402	126014024	342	102626859	23634501	-102552784
271	Logan Paul	Controversial internet personality known for his vlogs, boxing, and involvement in high-profile events.	English	23600000	5994002464	Entertainment	Logan Paul	719	United States	US	Entertainment	1057	82	75	10803000	2700	43200	32400	518600	0	2015	Aug	29	882	328239523	147	270663028	3709024	-95712891
272	Maya and Mary	NA	NA	23600000	6766461070	Entertainment	Maya and Mary	552	United States	US	Entertainment	883	82	75	44542000	11100	178200	133600	2100000	0	2013	Aug	30	882	328239523	147	270663028	3709024	-95712891
273	Peppa Pig Espana	"The Spanish-language channel for the popular children's show ""Peppa Pig,"" offering full episodes and clips."	Spanish	23600000	7920637200	Film & Animation	Peppa Pig Espana	1251	United Kingdom	GB	Film	668	12	19	53589000	13400	214400	160800	2600000	0	2014	Jul	28	600	66834405	385	55908316	55378051	-3435973
274	Jelly	Gamer known for his Let's Play videos, vlogs, and GTA V content, often featuring colorful thumbnails.	English	23500000	14777034543	Gaming	Jelly	6066	United Kingdom	GB	Games	229	13	20	41669000	10400	166700	125000	2000000	0	2014	May	27	600	66834405	385	55908316	55378051	-3435973
275	Miss Katy	NA	NA	23500000	14696994366	People & Blogs	Miss Katy	1044	United Kingdom	GB	Entertainment	235	13	76	59629000	14900	238500	178900	2900000	0	2014	Nov	17	600	66834405	385	55908316	55378051	-3435973
276	Tilak	NA	NA	23400000	9465863821	Film & Animation	Tilak	6672	India	IN	Film	493	56	20	367347000	91800	1500000	1100000	17600000	0	2020	Oct	10	281	1366417754	536	471031528	20593684	7896288
277	Valentina Pontes ofc	NA	NA	23400000	7926899136	Film & Animation	Valentina Pontes ofc	1291	Brazil	BR	Entertainment	667	14	77	28285000	7100	113100	84900	1400000	0	2014	Apr	14	513	212559417	1208	183241641	-14235004	-5192528
278	Sesame Street	The official channel of the legendary children's show providing educational content and fun.	English	23300000	22471357411	Entertainment	Sesame Street	3657	United States	US	Entertainment	99	83	78	124187000	31000	496700	372600	6000000	0	2006	Jan	16	882	328239523	147	270663028	3709024	-95712891
279	Happy Lives	NA	NA	23200000	2634	Science & Technology	Happy Lives	1	United States	US	Entertainment	4053372	84	79	6589000000	0	0	0	0	0	2016	Mar	15	882	328239523	147	270663028	3709024	-95712891
280	Lady Gaga	The official channel of the pop icon featuring music videos, live performances, and interviews.	English	23200000	15751661213	People & Blogs	Lady Gaga	172	United States	US	Music	198	83	79	143169000	35800	572700	429500	6900000	0	2008	May	15	882	328239523	147	270663028	3709024	-95712891
281	Akshay Nagwadiya	NA	NA	23200000	7966720147	Entertainment	Akshay Nagwadiya	595	India	IN	Entertainment	660		79	321179000	80300	1300000	963500	15400000	0	2017	Oct	25	281	1366417754	536	471031528	20593684	7896288
282	Wave Music Bhojpuri	A channel dedicated to Bhojpuri music, offering a large library of songs and film content.	Bhojpuri	23100000	12889240875	Music	Wave Music Bhojpuri	22578	India	IN	Music	293	59	81	52678000	13200	210700	158000	2500000	0	2014	Aug	10	281	1366417754	536	471031528	20593684	7896288
283	GMM GRAMMY OFFICIAL	The official channel of the major Thai entertainment company GMM Grammy, featuring music and entertainment.	Thai	23100000	25579831081	Music	GMM GRAMMY OFFICIAL	15462	Thailand	TH	Music	68	4	81	130233000	32600	520900	390700	6300000	0	2010	Nov	8	493	69625582	75	35294600	15870032	100992541
284	TED	Channel of TED Talks offering a variety of expert speakers on education, business, science, tech, and creativity.	English	23100000	2551113422	People & Blogs	TED	4445	United States	US	Tech	3568	85	4	13246000	3300	53000	39700	635800	0	2006	Dec	6	882	328239523	147	270663028	3709024	-95712891
285	unknown boy varun	NA	NA	23100000	9299371231	Music	unknown boy varun	456	India	IN	Music	506	58	80	304021000	76000	1200000	912100	14600000	0	2016	Sep	27	281	1366417754	536	471031528	20593684	7896288
286	Kids TV - Nursery Rhymes And Baby Songs	Channel featuring a variety of nursery rhymes and children's songs designed for education and entertainment.	English	23100000	13151870846	Shows	Kids TV - Nursery Rhymes And Baby Songs	3781	United States	US	Music	282	85	81	128448000	32100	513800	385300	6200000	0	2013	Aug	30	882	328239523	147	270663028	3709024	-95712891
287	Tsuriki Show	NA	NA	23000000	31494513067	Entertainment	Tsuriki Show	2905	Germany	DE	Comedy	34	1	15	756717000	189200	3000000	2300000	36300000	0	2019	Jul	10	702	83132799	304	64324835	51165691	10451526
288	Technical Guruji	Tech enthusiast from India offering gadget reviews, technology explanations, and tech news.	Hindi	23000000	3378047383	Science & Technology	Technical Guruji	5041	India	IN	Tech	2420	60	5	22262000	5600	89000	66800	1100000	0	2015	Oct	19	281	1366417754	536	471031528	20593684	7896288
289	DrossRotzank	YouTuber from Venezuela known for his content on horror stories, paranormal events, and mysterious themes.	Spanish	23000000	6041264489	Entertainment	DrossRotzank	1598	Argentina	AR	Entertainment	1040	5	80	35539000	8900	142200	106600	1700000	0	2006	Mar	9	900	44938712	979	41339571	-38416097	-63616672
290	White Hill Music	Music label channel from India showcasing Punjabi music videos, films, and more.	Punjabi	23000000	10939966484	Entertainment	White Hill Music	5718	India	IN	Music	382	60	82	93183000	23300	372700	279500	4500000	0	2014	Mar	23	281	1366417754	536	471031528	20593684	7896288
291	Ultra Movie Parlour	A channel offering a collection of full-length Indian movies and scenes in various languages.	Hindi	22900000	5320485069	Movies	Ultra Movie Parlour	1670	India	IN	Film	1248	61	22	118846000	0	0	0	0	0	2011	May	17	281	1366417754	536	471031528	20593684	7896288
292	Alan Becker	"Animator best known for the ""Animator vs. Animation"" series and other creative animation content."	English	22900000	5380073627	Film & Animation	Alan Becker	0	United States	US	Games	4057944	7700	7453		0	0	0	0	0	2006	Mar	21	882	328239523	147	270663028	3709024	-95712891
293	toyorbabytv	NA	NA	22900000	16298342829	Music	toyorbabytv	1159	Jordan	JO	Music	181	2	83	169056000	42300	676200	507200	8100000	0	2012	Nov	1	344	10101694	1472	9213048	30585164	36238414
294	BabyBus - Canciones Infantiles & Videos para Ni??	Channel providing educational content and songs for children in Spanish.	Spanish	22900000	13206471140	Education	BabyBus - Canciones Infantiles & Videos para?	1251	Mexico	MX	Education	278	12	17	136821000	34200	547300	410500	6600000	0	2018	Mar	19	402	126014024	342	102626859	23634501	-102552784
295	KL BRO Biju Rithvik	NA	NA	22800000	17988347989	Entertainment	KL BRO Biju Rithvik	1841	India	IN	Entertainment	143		79	2033000000	508100	8100000	6100000	97600000	0	2020	Jul	21	281	1366417754	536	471031528	20593684	7896288
296	Vania Mania Kids	NA	NA	22700000	10115316784	People & Blogs	Vania Mania Kids	985	United States	US	Education	438	87	18	155215000	38800	620900	465600	7500000	0	2015	Sep	9	882	328239523	147	270663028	3709024	-95712891
297	Like Nastya PRT	NA	NA	22700000	11568118121	Entertainment	Like Nastya PRT	654	United States	US	Entertainment	344		82	96613000	24200	386500	289800	4600000	0	2019	Apr	9	882	328239523	147	270663028	3709024	-95712891
298	Sun TV	Leading Tamil television channel from India featuring serials, movies, and entertainment shows.	Tamil	22600000	20847038152	People & Blogs	Sun TV	60964	India	IN	Entertainment	109	63	82	982238000	245600	3900000	2900000	47100000	0	2016	Feb	26	281	1366417754	536	471031528	20593684	7896288
299	Heroindori	NA	NA	22600000	9223534599	Comedy	Heroindori	495	India	IN	Entertainment	508	62	81	399152000	99800	1600000	1200000	19200000	0	2020	Jun	29	281	1366417754	536	471031528	20593684	7896288
300	The Chainsmokers	Official channel of the American DJ/producer duo known for their hit songs and music videos.	English	22600000	14231943358	Music	The Chainsmokers	180	United States	US	Music	246	88	84	81660000	20400	326600	245000	3900000	0	2012	Sep	22	882	328239523	147	270663028	3709024	-95712891
301	mmoshaya	Family vlogging channel with activities and daily life of the Mmoshaya family.	Arabic	22600000	17507060680	People & Blogs	mmoshaya	1189	Saudi Arabia	SA	Entertainment	156	1	83	73829000	18500	295300	221500	3500000	0	2010	Dec	11	680	34268528	593	28807838	23885942	45079162
302	Sia	Official channel featuring music videos and performances by artist Sia.	English	22600000	13405849040	Music	Sia	171	United States	US	Music	273	88	84	95253000	23800	381000	285800	4600000	0	2007	Nov	19	882	328239523	147	270663028	3709024	-95712891
303	LeoNata Family	Russian family channel showcasing the daily adventures of parents and children.	Russian	22600000	27084848152	People & Blogs	LeoNata Family	2321	United States	US	People	57	87	11	1174000000	293500	4700000	3500000	56300000	0	2021	Sep	28	882	328239523	147	270663028	3709024	-95712891
304	Goldmines Cineplex	Channel specializing in Bollywood movies and Hindi film industry content.	Hindi	22500000	2431154438	Film & Animation	Goldmines Cineplex	3377	India	IN	Film	3793	64	23	48740000	12200	195000	146200	2300000	0	2015	Sep	12	281	1366417754	536	471031528	20593684	7896288
305	Vlad and Niki Arabic	Arabic language content from the child YouTuber duo Vlad and Niki's adventures.	Arabic	22500000	10613701948	Entertainment	Vlad and Niki Arabic	526	United States	US	Entertainment	399	89	84	65066000	16300	260300	195200	3100000	0	2018	Nov	9	882	328239523	147	270663028	3709024	-95712891
306	SSundee	Gamer known for entertaining Minecraft, Fortnite, and Among Us gameplay.	English	22500000	13835173331	Gaming	SSundee	3315	United States	US	Games	261	90	21	175094000	43800	700400	525300	8400000	0	2009	Nov	28	882	328239523	147	270663028	3709024	-95712891
307	Paulo Londra	Music channel of Paulo Londra, featuring his songs and music videos.	Spanish	22400000	8040036209	Music	Paulo Londra	58	Argentina	AR	Music	648	6	85	72242000	18100	289000	216700	3500000	0	2016	Aug	8	900	44938712	979	41339571	-38416097	-63616672
308	Smile Family	Family channel with engaging and entertaining content.	NA	22300000	8663830163	People & Blogs	SMILE Family	34	France	FR	Music	3805801	3046	4509	735	18	3	2	35	0	2019	Nov	3	656	67059887	843	54123364	46227638	2213749
